,coordenada_x,coordenada_y,Zona
1,5434682.625809163,6360610.572041768,6
2,5434682.625809163,6360610.572041768,6
3,5438827.381643771,6355458.446824274,9
4,5439996.551499521,6354781.680434387,1
14,5439604.539358218,6355515.074523498,9
15,5439604.539358218,6355515.074523498,9
16,5439604.539358218,6355515.074523498,9
17,5439604.539358218,6355515.074523498,9
18,5439604.539358218,6355515.074523498,9
19,5437325.906887637,6356389.454618037,5
20,5437325.906887637,6356389.454618037,5
27,5430232.563613358,6357185.567918891,4
40,5437758.975662524,6349813.101253285,8
45,5431548.990835592,6357736.8399751615,4
52,5434918.652945309,6354373.442355454,0
53,5434918.652945309,6354373.442355454,0
57,5438919.064092521,6349134.259418633,8
68,5438028.595155854,6348576.901127761,8
69,5438028.595155854,6348576.901127761,8
70,5438028.595155854,6348576.901127761,8
71,5438028.595155854,6348576.901127761,8
88,5432883.459329975,6353764.822444469,0
89,5432883.459329975,6353764.822444469,0
91,5437261.24,6354352.845000002,7
92,5437261.24,6354352.845000002,7
99,5437063.198931393,6358050.35053283,5
100,5437063.198931393,6358050.35053283,5
101,5437063.198931393,6358050.35053283,5
102,5437063.198931393,6358050.35053283,5
103,5437063.198931393,6358050.35053283,5
104,5437063.198931393,6358050.35053283,5
105,5437063.198931393,6358050.35053283,5
106,5437063.198931393,6358050.35053283,5
107,5433301.129267062,6354721.12688604,0
108,5433301.129267062,6354721.12688604,0
109,5433301.129267062,6354721.12688604,0
110,5433301.129267062,6354721.12688604,0
111,5433301.129267062,6354721.12688604,0
112,5433301.129267062,6354721.12688604,0
114,5436880.35,6357668.52,5
115,5436880.35,6357668.52,5
116,5436880.35,6357668.52,5
117,5438587.444123863,6355711.9806040935,9
118,5438587.444123863,6355711.9806040935,9
129,5439558.357292694,6348062.433481102,3
130,5439558.357292694,6348062.433481102,3
131,5439558.357292694,6348062.433481102,3
132,5439558.357292694,6348062.433481102,3
133,5439558.357292694,6348062.433481102,3
134,5439558.357292694,6348062.433481102,3
135,5439558.357292694,6348062.433481102,3
136,5439558.357292694,6348062.433481102,3
137,5439558.357292694,6348062.433481102,3
138,5439558.357292694,6348062.433481102,3
139,5439558.357292694,6348062.433481102,3
142,5437381.279851611,6352614.065333521,7
143,5437381.279851611,6352614.065333521,7
150,5432169.29,6357259.61,4
